permno,ticker,company,position_type,months_held,avg_monthly_return,total_contribution,win_rate,avg_predicted_eps,avg_actual_eps,first_date,last_date,eps_prediction_error,eps_direction_correct
92984,LOGM,LOGMEIN INC,SHORT,12,-0.016206865516666665,-0.1944823862,0.5833333333333334,-18.667018893021574,1.0358333333333332,2017-02-01,2018-01-01,19.702852226354906,False
77447,ICUI,ICU MED INC,SHORT,5,-0.029996088459999994,-0.14998044229999996,0.0,-13.982500596531299,1.5719999999999998,2017-03-01,2017-12-01,15.554500596531298,False
15826,SQ,SQUARE,SHORT,23,-0.08323252767391304,-1.9143481365,0.34782608695652173,-13.97591260921233,0.07565217391304349,2017-03-01,2019-06-01,14.051564783125373,False
80539,NKTR,NEKTAR,SHORT,37,-0.03425661144054054,-1.2674946233,0.4594594594594595,-19.794139302329917,0.04216216216216218,2017-04-01,2020-06-01,19.83630146449208,False
15694,PEN,PENUMBRA,SHORT,24,-0.025526415075,-0.6126339618,0.375,-16.48647860630486,0.1929166666666667,2017-04-01,2019-06-01,16.679395272971526,False
66325,SLM,SLM,SHORT,2,0.111808823,0.223617646,1.0,-15.343163344093362,0.47000000000000003,2017-05-01,2020-02-01,15.813163344093363,False
88863,EXAS,EXACT SCIENCES,SHORT,41,-0.033640449439024396,-1.3792584270000001,0.43902439024390244,-25.49879052584529,-0.3780487804878049,2017-05-01,2022-07-01,25.120741745357485,True
24205,NEE,NEXTERA,LONG,60,0.010461846173333334,0.6277107704,0.65,14.209653557698756,0.5629166666666666,2017-06-01,2023-09-01,13.64673689103209,True
79857,PTEN,PATTERSONUTI,SHORT,10,-0.040386568590000005,-0.40386568590000005,0.5,-18.295323737881905,0.047000000000000014,2017-06-01,2022-11-01,18.342323737881905,False
14811,FWONK,LIBERTY MEDIA,SHORT,4,-0.035911176025,-0.1436447041,0.5,-13.802954972206603,-0.15000000000000002,2017-06-01,2017-09-01,13.652954972206603,True
14983,W,WAYFAIR,SHORT,38,-0.025994707481578946,-0.9877988843,0.5263157894736842,-15.061389102776475,-0.9376315789473687,2017-06-01,2023-10-01,14.123757523829108,True
86580,NVDA,NVIDIA,LONG,4,0.005912919774999997,0.02365167909999999,0.5,18.761310102263288,0.73,2022-09-01,2022-12-01,18.031310102263287,True
86580,NVDA,NVIDIA,SHORT,4,-0.055273358125,-0.2210934325,0.0,-14.20725066627744,0.28125,2017-06-01,2017-09-01,14.48850066627744,False
