year,month,date,long_portfolio,short_portfolio,long_short_return,long_holdings_count,short_holdings_count,total_holdings,rebalanced,rf,sp_ret,date_y
2020,5,2020-05-01,0.034348408534,0.029214092509999998,0.005134316024000003,50,50,100,True,0.0001,0.045282,2020-05-01
2020,6,2020-06-01,0.011079315432000001,0.029938785493999996,-0.018859470061999995,50,50,100,True,0.0001,0.018388,2020-06-01
2020,7,2020-07-01,0.019875469316000004,0.034212765533999996,-0.014337296217999992,50,50,100,True,0.0001,0.055101,2020-07-01
2020,8,2020-08-01,0.057760715052,0.048820760334000006,0.008939954717999993,50,50,100,True,0.0001,0.070065,2020-08-01
2020,9,2020-09-01,-0.04581713714,-0.016107519174000003,-0.029709617965999996,50,50,100,True,0.0001,-0.039228,2020-09-01
2020,10,2020-10-01,-0.012618125931999997,-0.01362665685,0.001008530918000003,50,50,100,True,0.0001,-0.027666,2020-10-01
2020,11,2020-11-01,0.210849038254,0.11701141169399999,0.09383762656000001,50,50,100,True,0.0001,0.107546,2020-11-01
2020,12,2020-12-01,0.045280209679999996,0.039233481072,0.006046728607999999,50,50,100,True,0.0001,0.037121,2020-12-01
2021,1,2021-01-01,0.006905987036,-0.011565953466,0.018471940502,50,50,100,True,0.0001,-0.011137,2021-01-01
2021,2,2021-02-01,0.09651414383200001,0.048167989962,0.048346153870000005,50,50,100,True,0.0,0.026091,2021-02-01
2021,3,2021-03-01,0.08266030939999998,0.06261011136,0.02005019803999998,50,50,100,True,0.0,0.042439,2021-03-01
2021,4,2021-04-01,0.03157847835,0.025457563917999998,0.006120914432000003,50,50,100,True,0.0,0.052425,2021-04-01
2021,5,2021-05-01,0.037663541547999994,0.023646495366000005,0.01401704618199999,50,50,100,True,0.0,0.005487,2021-05-01
2021,6,2021-06-01,0.007223272022,-0.015494369543999999,0.022717641566,50,50,100,True,0.0,0.022214,2021-06-01
2021,7,2021-07-01,-0.014658454485999999,0.016366497315999998,-0.031024951801999996,50,50,100,True,0.0,0.022748,2021-07-01
2021,8,2021-08-01,0.026181131803999995,0.021958075692,0.004223056111999995,50,50,100,True,0.0,0.02899,2021-08-01
2021,9,2021-09-01,-0.020286959634,-0.041218456137999994,0.020931496503999995,50,50,100,True,0.0,-0.047569,2021-09-01
